Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address,Tags
"Walkertown, Ky. 
 by Asbury",209,http://mappalachia.org/pictures/gallery/full_size/map_209.jpg,Asbury,1965,Perry,Walkertown,Ky.,Rights Reserved by: Asbury,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2637067,-83.1904506,10,,,Economic
"Drawing 
 by Audie Jaye Stewart",210,http://mappalachia.org/pictures/gallery/full_size/map_210.jpg,Audie Jaye Stewart,1965,Harlan,Ross Point,Ky.,Rights Reserved by: Audie Jaye Stewart,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8823117,-83.2893459,10,,,Religious
"Drawing 
 by Brenda Baldwin",211,http://mappalachia.org/pictures/gallery/full_size/map_211.jpg,Brenda Baldwin,1965,Wyoming,Kopperston,W.Va.,Rights Reserved by: Brenda Baldwin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7484443,-81.5695525,10,,,Economic
"Beckley, Ky. 
 by E. Rees",212,http://mappalachia.org/pictures/gallery/full_size/map_212.jpg,E. Rees,1965,Raleigh,Beckley,Ky.,Rights Reserved by: E. Rees,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7781702,-81.1881557,10,,,
"Drawing 
 by Ginger Crain",213,http://mappalachia.org/pictures/gallery/full_size/map_213.jpg,Ginger Crain,1965,Madison,Marshall,Ky.,Rights Reserved by: Ginger Crain,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7742538,-84.2934421,10,,,"Religious,Political,Economic"
"Drawing 
 by Harold C. Weatherman",214,http://mappalachia.org/pictures/gallery/full_size/map_214.jpg,Harold C. Weatherman,1965,Surry Wikes,Elkin,S.C.,Rights Reserved by: Harold C. Weatherman,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.2443012,-80.8484043,10,,,"Religious,Economic"
"Pinsofork, Ky. 
 by JB Trout Jr.",215,http://mappalachia.org/pictures/gallery/full_size/map_215.jpg,JB Trout Jr.,1965,Pike,Pinsofork,Ky.,Rights Reserved by: JB Trout Jr.,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5530492,-82.2635832,10,,,"Religious,Economic"
"Frakes, Ky. 
 by Scott Fuition",216,http://mappalachia.org/pictures/gallery/full_size/map_216.jpg,Scott Fuition,,Bell,Frakes,Ky.,Rights Reserved by: Scott Fuition,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6428605,-83.9277019,10,,,"Religious,Economic"
"Drawing 
 by Sharon",217,http://mappalachia.org/pictures/gallery/full_size/map_217.jpg,Sharon,,Lincoln,Harper,Ky.,Rights Reserved by: Sharon,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8017566,-83.1957305,10,,,Economic
"Sycamore Hollow, Ky. 
 by Shasta Ratliff",218,http://mappalachia.org/pictures/gallery/full_size/map_218.jpg,Shasta Ratliff,1969,Pike,Sycamore Hollow,Ky.,Rights Reserved by: Shasta Ratliff,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,,
"Drawing 
 by Sylvia Barnett",219,http://mappalachia.org/pictures/gallery/full_size/map_219.jpg,Sylvia Barnett,1956,Jefferson,Jefferson City,Ky.,Rights Reserved by: Sylvia Barnett,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.122311,-83.492396,10,,,"Religious,Economic"
"Ary, Ky. 
 by Teresa Combs",220,http://mappalachia.org/pictures/gallery/full_size/map_220.jpg,Teresa Combs,1968,Perry,Ary,Ky.,Rights Reserved by: Teresa Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3664841,-83.1507268,10,,,"Religious,Economic"
"Ansted, W.Va. 
 by Thelma Rose",221,http://mappalachia.org/pictures/gallery/full_size/map_221.jpg,Thelma Rose,,Fayette,Ansted,W.Va.,Rights Reserved by: Thelma Rose,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1362201,-81.0995479,10,,,"Religious,Economic"
"Mt. Victory, Ky. 
 by Tom Van Sant",222,http://mappalachia.org/pictures/gallery/full_size/map_222.jpg,Tom Van Sant,,Pulaski,Mt. Victory,Ky.,Rights Reserved by: Tom Van Sant,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0292483,-84.386326,10,,,"Religious,Economic"
"Elkin, N.C. 
 by Tony Snow",223,http://mappalachia.org/pictures/gallery/full_size/map_223.jpg,Tony Snow,1959,Surry Wikes,Elkin,N.C.,Rights Reserved by: Tony Snow,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.2443012,-80.8484043,10,,,"Religious,Economic"
"Drawing 
 by Walen Craft",224,http://mappalachia.org/pictures/gallery/full_size/map_224.jpg,Walen Craft,,Madison,Berea,Ky.,Rights Reserved by: Walen Craft,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Drawing 
 by Walter Olin",225,http://mappalachia.org/pictures/gallery/full_size/map_225.jpg,Walter Olin,,Madison,Berea,Ky.,Rights Reserved by: Walter Olin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Fountain City, Tenn. 
 by Walter Perry",226,http://mappalachia.org/pictures/gallery/full_size/map_226.jpg,Walter Perry,,Knox,Fountain City,Tenn.,Rights Reserved by: Walter Perry,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0349099,-83.9321918,10,,,"Religious,Economic"
"Erwin, Tenn. 
 by Hobert Hampton",227,http://mappalachia.org/pictures/gallery/full_size/map_227.jpg,Hobert Hampton,1952,Unicoi,Erwin,Tenn.,Rights Reserved by: Hobert Hampton,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1451082,-82.4168055,10,,,Economic
"Nepton, Ky. 
 by joyce Tolliver",228,http://mappalachia.org/pictures/gallery/full_size/map_228.jpg,joyce Tolliver,1961,Fleming,Nepton,Ky.,Rights Reserved by: joyce Tolliver,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4353542,-83.8340883,10,,,Economic
"Drawing 
 by Gary Cooke",229,http://mappalachia.org/pictures/gallery/full_size/map_229.jpg,Gary Cooke,1961,Pulaski,Somerset,Ky.,Rights Reserved by: Gary Cooke,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0920222,-84.6041084,10,,,"Religious,Economic"
"Vicco, Ky. 
 by Kash Mullins",230,http://mappalachia.org/pictures/gallery/full_size/map_230.jpg,Kash Mullins,1961,Perry,Vicco,Ky.,Rights Reserved by: Kash Mullins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2156521,-83.0615548,10,,,"Religious,Political,Economic"
"Drawing 
 by Pat Powell",231,http://mappalachia.org/pictures/gallery/full_size/map_231.jpg,Pat Powell,1961,Hamilton,Cincinnati,Ohio,Rights Reserved by: Pat Powell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,,"Religious,Political,Economic"
"Drawing 
 by Wayne Carpenter",232,http://mappalachia.org/pictures/gallery/full_size/map_232.jpg,Wayne Carpenter,1961,Avery,Three Mile,N.C.,Rights Reserved by: Wayne Carpenter,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9851266,-81.9784479,10,,,"Political,Economic"
"Lancaster, Ky. 
 by Willie Frances Moore",233,http://mappalachia.org/pictures/gallery/full_size/map_233.jpg,Willie Frances Moore,1961,Garrard,Lancaster,Ky.,Rights Reserved by: Willie Frances Moore,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,,"Religious,Political,Economic"
"Tina, Ky. 
 by Richard Deaton",234,http://mappalachia.org/pictures/gallery/full_size/map_234.jpg,Richard Deaton,1961,Knott,Tina,Ky.,Rights Reserved by: Richard Deaton,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3612083,-83.0196098,10,,,"Religious,Political,Economic"
"Drawing 
 by Bill Stark",235,http://mappalachia.org/pictures/gallery/full_size/map_235.jpg,Bill Stark,1962,Madison,Berea,Ky.,Rights Reserved by: Bill Stark,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,Economic
"Tomahawk, Ky. 
 by Don Spence",236,http://mappalachia.org/pictures/gallery/full_size/map_236.jpg,Don Spence,1962,Martin,Tomahawk,Ky.,Rights Reserved by: Don Spence,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8687052,-82.5970983,10,,,"Religious,Economic"
"Ashland, Ky. 
 by Donna Le Master",237,http://mappalachia.org/pictures/gallery/full_size/map_237.jpg,Donna Le Master,1962,Boyd,Ashland,Ky.,Rights Reserved by: Donna Le Master,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4784144,-82.6379387,10,,,
"Welch, W.Va. 
 by Elton White",238,http://mappalachia.org/pictures/gallery/full_size/map_238.jpg,Elton White,1962,McDowell,Welch,W.Va.,Rights Reserved by: Elton White,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4328913,-81.5845513,10,,,"Religious,Political,Economic"
"Fayetteville, W.Va. 
 by Jo Anne McClelland",239,http://mappalachia.org/pictures/gallery/full_size/map_239.jpg,Jo Anne McClelland,1962,Fayette,Fayetteville,W.Va.,Rights Reserved by: Jo Anne McClelland,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0528884,-81.1039911,10,,,"Religious,Political,Economic"
"Coeburn, Va. 
 by Naomi McConnell",240,http://mappalachia.org/pictures/gallery/full_size/map_240.jpg,Naomi McConnell,1962,Wise,Coeburn,Va.,Rights Reserved by: Naomi McConnell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9439917,-82.4640401,10,,,"Religious,Economic"
"Cartersville, Ga. 
 by Ruth Lanier",242,http://mappalachia.org/pictures/gallery/full_size/map_242.jpg,Ruth Lanier,1962,Bartow,Cartersville,Ga.,Rights Reserved by: Ruth Lanier,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.1650972,-84.7999382,10,,,"Political,Economic"
"Fort Gay, W.Va. 
 by Carlos R. Jackson",243,http://mappalachia.org/pictures/gallery/full_size/map_243.jpg,Carlos R. Jackson,1963,Wayne,Fort Gay,W.Va.,Rights Reserved by: Carlos R. Jackson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1161988,-82.5957118,10,,,"Political,Economic"
"Lost Creek, Ky. 
 by Doris Jean Watts",244,http://mappalachia.org/pictures/gallery/full_size/map_244.jpg,Doris Jean Watts,1963,Breathitt,Lost Creek,Ky.,Rights Reserved by: Doris Jean Watts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4790876,-83.3228226,10,,,Economic
"Prater, Va. 
 by James C. Owens",246,http://mappalachia.org/pictures/gallery/full_size/map_246.jpg,James C. Owens,1963,Buchanan,Prater,Va.,Rights Reserved by: James C. Owens,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2131657,-82.1968054,10,,,"Political,Economic"
"Holden, Va. 
 by Parry Steele",247,http://mappalachia.org/pictures/gallery/full_size/map_247.jpg,Parry Steele,,Logan,Holden,Va.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8242695,-82.0595727,10,,,Religious
"Drawing 
 by Jim Lawson",248,http://mappalachia.org/pictures/gallery/full_size/map_248.jpg,Jim Lawson,,Wise,Exeter,Va.,Rights Reserved by: Jim Lawson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8759276,-82.8540508,10,,,Economic
"Drawing 
 by Jim O'Bryan",249,http://mappalachia.org/pictures/gallery/full_size/map_249.jpg,Jim O\'Bryan,,Laurel,London,Ky.,Rights Reserved by: Jim O\'Bryan,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1289771,-84.0832646,10,,,
"Drawing 
 by Joan Williams",250,http://mappalachia.org/pictures/gallery/full_size/map_250.jpg,Joan Williams,,Clark,Springfield,Ohio,Rights Reserved by: Joan Williams,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.9242266,-83.8088171,10,,,Economic
"Pine Knot, Ky. 
 by Joyce Cooper",251,http://mappalachia.org/pictures/gallery/full_size/map_251.jpg,Joyce Cooper,,McCreary,Pine Knot,Ky.,Rights Reserved by: Joyce Cooper,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6509124,-84.4385489,10,,,Economic
"Lancaster, Ky. 
 by Anonymous",252,http://mappalachia.org/pictures/gallery/full_size/map_252.jpg,,,Garrard,Lancaster,Ky.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,,
"Beckley, Ky. 
 by Larry Sweeney",254,http://mappalachia.org/pictures/gallery/full_size/map_254.jpg,Larry Sweeney,,Raleigh,Beckley,Ky.,Rights Reserved by: Larry Sweeney,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7781702,-81.1881557,10,,,
"Drawing 
 by Linda Wilburn",256,http://mappalachia.org/pictures/gallery/full_size/map_256.jpg,Linda Wilburn,1970,Knoxville,Lenoir,Tenn.,Rights Reserved by: Linda Wilburn,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7972998,-84.2560299,10,,,
"Drawing 
 by Lonna Hurley",257,http://mappalachia.org/pictures/gallery/full_size/map_257.jpg,Lonna Hurley,1970,Walker,Lafayette,Ga.,Rights Reserved by: Lonna Hurley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.7048022,-85.2818998,10,,,
"Drawing 
 by Loretta Bryson",259,http://mappalachia.org/pictures/gallery/full_size/map_259.jpg,Loretta Bryson,1970,Summer,Henersonville,Tenn.,Rights Reserved by: Loretta Bryson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.3047735,-86.6199957,10,,,
"Pierce, Ky. 
 by Margaret Curry",261,http://mappalachia.org/pictures/gallery/full_size/map_261.jpg,Margaret Curry,,Green,Pierce,Ky.,Rights Reserved by: Margaret Curry,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1864465,-85.6077456,10,,,Economic
"Burnsville, N.C. 
 by Mike Dayton",263,https://drive.google.com/file/d/1NiPMBzlMQ0DKZFVVZAnNYd9ENTTysTAz/view?usp=sharing,Mike Dayton,,Yancey,Burnsville,N.C.,Rights Reserved by: Mike Dayton,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9173357,-82.300961,10,,,Religious
"Smithville, Tenn. 
 by Pam Billings",265,http://mappalachia.org/pictures/gallery/full_size/map_265.jpg,Pam Billings,,Dekalb,Smithville,Tenn.,Rights Reserved by: Pam Billings,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9606185,-85.8141516,10,,,"Political,Economic"
"Middleburg, Ky. 
 by Randy Miller",266,http://mappalachia.org/pictures/gallery/full_size/map_266.jpg,Randy Miller,,Casey,Middleburg,Ky.,Rights Reserved by: Randy Miller,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3578532,-84.8210603,10,,,"Religious,Economic"
"Wheelwright, Ky. 
 by Anonymous",267,http://mappalachia.org/pictures/gallery/full_size/map_267.jpg,,,Floyd,Wheelwright,Ky.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,,"Religious,Economic"
"Midway, Va. 
 by Guy Henrick",268,http://mappalachia.org/pictures/gallery/full_size/map_268.jpg,Guy Henrick,,Lee,Midway,Va.,Rights Reserved by: Guy Henrick,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5869131,-79.6376537,10,,,
"Wesser, N.C. 
 by Jack Dills",269,http://mappalachia.org/pictures/gallery/full_size/map_269.jpg,Jack Dills,1958,Swain,Wesser,N.C.,Rights Reserved by: Jack Dills,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4309291,-83.4473809,10,,,
"Flemingsburg, Ky. 
 by James Waddell",270,http://mappalachia.org/pictures/gallery/full_size/map_270.jpg,James Waddell,1953,Fleming,Flemingsburg,Ky.,Rights Reserved by: James Waddell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4222995,-83.7338076,10,,,Religious
"Madison, W.Va. 
 by John D. Bradley",271,http://mappalachia.org/pictures/gallery/full_size/map_271.jpg,John D. Bradley,,Boone,Madison,W.Va.,Rights Reserved by: John D. Bradley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0670454,-81.8192892,10,,,"Political,Economic"
"Cobb, Ga. 
 by Judy McLaughlin",272,http://mappalachia.org/pictures/gallery/full_size/map_272.jpg,Judy McLaughlin,,Sumter,Cobb,Ga.,Rights Reserved by: Judy McLaughlin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,31.9590772,-83.9884612,10,,,
"Belfry, Ky. 
 by Judy Myers",273,http://mappalachia.org/pictures/gallery/full_size/map_273.jpg,Judy Myers,1963,Pike,Belfry,Ky.,Rights Reserved by: Judy Myers,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6203804,-82.2690293,10,,,"Religious,Political,Economic"
"Climax, Ky. 
 by June Mullins",274,http://mappalachia.org/pictures/gallery/full_size/map_274.jpg,June Mullins,,Rockcastle,Climax,Ky.,Rights Reserved by: June Mullins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4698069,-84.2249331,10,,,Economic
"Cattlettsburg, Ohio 
 by Katie Bateman",275,http://mappalachia.org/pictures/gallery/full_size/map_275.jpg,Katie Bateman,,Boyd,Cattlettsburg,Ohio,Rights Reserved by: Katie Bateman,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4048042,-82.6004369,10,,,"Religious,Political,Economic"
"Drawing 
 by Ken Farley",276,http://mappalachia.org/pictures/gallery/full_size/map_276.jpg,Ken Farley,1963,Madison,Berea,Ky.,Rights Reserved by: Ken Farley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Middleburg, Ky. 
 by Larry Blondell",277,http://mappalachia.org/pictures/gallery/full_size/map_277.jpg,Larry Blondell,,Bell,Middleburg,Ky.,Rights Reserved by: Larry Blondell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2846045,-85.0290108,10,,,"Political,Economic"
"Drawing 
 by Lattie M. Corbin",278,http://mappalachia.org/pictures/gallery/full_size/map_278.jpg,Lattie M. Corbin,,Macon,Franklin,N.C.,Rights Reserved by: Lattie M. Corbin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1823171,-83.3815429,10,,,Religious
"Drawing 
 by Lee C. Hahn",279,http://mappalachia.org/pictures/gallery/full_size/map_279.jpg,Lee C. Hahn,1966,Madison,Berea,Ky.,Rights Reserved by: Lee C. Hahn,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Canada, Ky. 
 by Leona Baldwin",280,http://mappalachia.org/pictures/gallery/full_size/map_280.jpg,Leona Baldwin,1957,Pike,Canada,Ky.,Rights Reserved by: Leona Baldwin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6061055,-82.3246094,10,,,Economic
"Levale, W.Va. 
 by Leo S. Arnold",281,http://mappalachia.org/pictures/gallery/full_size/map_281.jpg,Leo S. Arnold,1963,Unknown,Levale,W.Va.,Rights Reserved by: Leo S. Arnold,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.9662186,-81.5251113,10,,,
"Gallagher, W.Va. 
 by Lois McCarthy",282,http://mappalachia.org/pictures/gallery/full_size/map_282.jpg,Lois McCarthy,1954,Kanawha,Gallagher,W.Va.,Rights Reserved by: Lois McCarthy,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1731604,-81.4017802,10,,,
"Hazard, Ky. 
 by Lonnie Moore",283,http://mappalachia.org/pictures/gallery/full_size/map_283.jpg,Lonnie Moore,,Perry,Hazard,Ky.,Rights Reserved by: Lonnie Moore,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,"Political,Economic"
"Berea, Ky. 
 by Louis Crawford",284,http://mappalachia.org/pictures/gallery/full_size/map_284.jpg,Louis Crawford,,Madison,Berea,Ky.,Rights Reserved by: Louis Crawford,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Drawing 
 by Lucy Roizer",285,http://mappalachia.org/pictures/gallery/full_size/map_285.jpg,Lucy Roizer,,Clay,Hayesville,N.C.,Rights Reserved by: Lucy Roizer,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.0462003,-83.8179527,10,,,Rural
"Berea, Ky. 
 by Lydia J. Evans",286,http://mappalachia.org/pictures/gallery/full_size/map_286.jpg,Lydia J. Evans,,Madison,Berea,Ky.,Rights Reserved by: Lydia J. Evans,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Gentry Town, W.Va. 
 by A. Yablonski",287,http://mappalachia.org/pictures/gallery/full_size/map_287.jpg,A. Yablonski,1949,Unknown,Gentry Town,W.Va.,Rights Reserved by: A. Yablonski,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.9568152,-81.1614268,10,,,Economic
"Berea, Ky. 
 by Ambrose",288,http://mappalachia.org/pictures/gallery/full_size/map_288.jpg,Ambrose,1949,Madison,Berea,Ky.,Rights Reserved by: Ambrose,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Race,Religious"
"Beattyville, Ky. 
 by Cora Jean Little",289,http://mappalachia.org/pictures/gallery/full_size/map_289.jpg,Cora Jean Little,1949,Lee,Beattyville,Ky.,Rights Reserved by: Cora Jean Little,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,,"Religious,Political,Economic"
"Banner, Va. 
 by Elizabeth Thomas",290,http://mappalachia.org/pictures/gallery/full_size/map_290.jpg,Elizabeth Thomas,1949,Wise,Banner,Va.,Rights Reserved by: Elizabeth Thomas,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9495476,-82.4295938,10,,,"Religious,Economic"
"Rupert, W.Va. 
 by Grace Turner",291,http://mappalachia.org/pictures/gallery/full_size/map_291.jpg,Grace Turner,1949,Greenbirer,Rupert,W.Va.,Rights Reserved by: Grace Turner,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.9631733,-80.6895314,10,,,"Religious,Economic"
"Wytheville, Va. 
 by Henry Sutherland",292,http://mappalachia.org/pictures/gallery/full_size/map_292.jpg,Henry Sutherland,1949,Wythe,Wytheville,Va.,Rights Reserved by: Henry Sutherland,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9484528,-81.084811,10,,,"Race,Religious,Political,Economic"
"Gesling, Ky. 
 by Joan Ramey",293,http://mappalachia.org/pictures/gallery/full_size/map_293.jpg,Joan Ramey,1949,Carter,Gesling,Ky.,Rights Reserved by: Joan Ramey,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4231352,-83.092397,10,,,Economic
"Holden, W.Va. 
 by Parry Steele",294,http://mappalachia.org/pictures/gallery/full_size/map_294.jpg,Parry Steele,1949,Logan,Holden,W.Va.,Rights Reserved by: Parry Steele,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8242695,-82.0595727,10,,,Economic
"Drawing 
 by Robert Hill",295,http://mappalachia.org/pictures/gallery/full_size/map_295.jpg,Robert Hill,1949,Grant,Petersburg,Ky.,Rights Reserved by: Robert Hill,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.0704083,-84.8653576,10,,,
"Bluefield, Va. 
 by Sarah Perdue",296,http://mappalachia.org/pictures/gallery/full_size/map_296.jpg,Sarah Perdue,1949,Tazewell,Bluefield,Va.,Rights Reserved by: Sarah Perdue,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2486175,-81.2843811,10,,,"Race,Economic"
"Rainelle, W.Va. 
 by Stanley Shrader",297,http://mappalachia.org/pictures/gallery/full_size/map_297.jpg,Stanley Shrader,1949,Greenbirer,Rainelle,W.Va.,Rights Reserved by: Stanley Shrader,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.9687279,-80.7670342,10,,,"Religious,Economic"
"Wallins, Ky. 
 by Stephen Burkhart",298,http://mappalachia.org/pictures/gallery/full_size/map_298.jpg,Stephen Burkhart,1949,Harlan,Wallins,Ky.,Rights Reserved by: Stephen Burkhart,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8311984,-83.416853,10,,,"Religious,Economic"
"Oak Ridge, Tenn. 
 by J.R. Boyd Jr.",299,http://mappalachia.org/pictures/gallery/full_size/map_299.jpg,J.R. Boyd Jr.,1953,Anderson; Roane,Oak Ridge,Tenn.,Rights Reserved by: J.R. Boyd Jr.,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,,"Gender,Economic"
"Drawing 
 by Mary Plummer",300,http://mappalachia.org/pictures/gallery/full_size/map_300.jpg,Mary Plummer,1953,Anderson; Roane,Oak Ridge,Tenn.,Rights Reserved by: Mary Plummer,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,,
"Drawing 
 by Sylvia Hitchcock",301,http://mappalachia.org/pictures/gallery/full_size/map_301.jpg,Sylvia Hitchcock,1953,Anderson; Roane,Oak Ridge,Tenn.,Rights Reserved by: Sylvia Hitchcock,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,,Religious
"Boone, N.C. 
 by James Greer",302,http://mappalachia.org/pictures/gallery/full_size/map_302.jpg,James Greer,1954,Watauga,Boone,N.C.,Rights Reserved by: James Greer,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.216795,-81.6745517,10,,,"Race,Economic"
"Drawing 
 by Ray Himes",303,http://mappalachia.org/pictures/gallery/full_size/map_303.jpg,Ray Himes,,Madison,Berea,Ky.,Rights Reserved by: Ray Himes,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Religious,Economic"
"Leicester, N.C. 
 by Michael Arrington",304,http://mappalachia.org/pictures/gallery/full_size/map_304.jpg,Michael Arrington,,Buncombe,Leicester,N.C.,Rights Reserved by: Michael Arrington,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6551074,-82.6962438,10,,,"Religious,Economic"
"Brighton, Ala. 
 by Marilyn Oliver",305,http://mappalachia.org/pictures/gallery/full_size/map_305.jpg,Marilyn Oliver,1956,Jefferson,Brighton,Ala.,Rights Reserved by: Marilyn Oliver,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.4342755,-86.9472148,10,,,Religious
